question,nan,yes,no,dk,refused,answered,total,answered_nicely,answered_badly,p_nan,p_yes,p_no,p_dk,p_refused,p_bad,p_yes_adj,p_no_adj
q1a,0,69480,78929,455,897,149761,149761,148409,1352,0.0,46.82,53.18,0.3,0.6,0.9,46.82,53.18
q1b,82741,7397,59027,228,368,67020,149761,66424,596,55.25,11.14,88.86,0.34,0.55,0.89,4.99,39.76
q3a,0,50457,97548,862,894,149761,149761,148005,1756,0.0,34.09,65.91,0.58,0.6,1.17,34.09,65.91
q3b,0,27812,119762,1109,1078,149761,149761,147574,2187,0.0,18.85,81.15,0.74,0.72,1.46,18.85,81.15
q8a,75553,13774,58753,505,1176,74208,149761,72527,1681,50.45,18.99,81.01,0.68,1.58,2.27,9.41,40.14
q8b,75554,26667,45746,581,1213,74207,149761,72413,1794,50.45,36.83,63.17,0.78,1.63,2.42,18.25,31.3
q9a,75554,35550,37073,425,1159,74207,149761,72623,1584,50.45,48.95,51.05,0.57,1.56,2.13,24.25,25.3
q9b,75554,26252,46289,493,1173,74207,149761,72541,1666,50.45,36.19,63.81,0.66,1.58,2.25,17.93,31.62
q9c,75554,12063,60522,424,1198,74207,149761,72585,1622,50.45,16.62,83.38,0.57,1.61,2.19,8.24,41.31
q9d,75555,12148,60364,462,1232,74206,149761,72512,1694,50.45,16.75,83.25,0.62,1.66,2.28,8.3,41.25
q10a,75010,14800,57047,1718,1186,74751,149761,71847,2904,50.09,20.6,79.4,2.3,1.59,3.88,10.28,39.63
q10b,75010,19510,50080,4011,1150,74751,149761,69590,5161,50.09,28.04,71.96,5.37,1.54,6.9,13.99,35.92
q10c,75010,15048,57030,1465,1208,74751,149761,72078,2673,50.09,20.88,79.12,1.96,1.62,3.58,10.42,39.49
q10d,75012,12897,58082,2517,1253,74749,149761,70979,3770,50.09,18.17,81.83,3.37,1.68,5.04,9.07,40.84
q10e,75010,50940,21349,1293,1169,74751,149761,72289,2462,50.09,70.47,29.53,1.73,1.56,3.29,35.17,14.74
q10f,75011,4259,67367,1833,1291,74750,149761,71626,3124,50.09,5.95,94.05,2.45,1.73,4.18,2.97,46.94
q10g,75010,10411,61326,1751,1263,74751,149761,71737,3014,50.09,14.51,85.49,2.34,1.69,4.03,7.24,42.67
q11,0,55973,91854,625,1309,149761,149761,147827,1934,0.0,37.86,62.14,0.42,0.87,1.29,37.86,62.14
q12a,93788,36072,19565,205,131,55973,149761,55637,336,62.63,64.83,35.17,0.37,0.23,0.6,24.23,13.14
q12b,93788,41864,13705,271,133,55973,149761,55569,404,62.63,75.34,24.66,0.48,0.24,0.72,28.15,9.22
q13a,93788,30701,24798,205,269,55973,149761,55499,474,62.63,55.32,44.68,0.37,0.48,0.85,20.67,16.7
q13b,93788,9293,46091,285,304,55973,149761,55384,589,62.63,16.78,83.22,0.51,0.54,1.05,6.27,31.1
q14a,0,15442,132985,419,915,149761,149761,148427,1334,0.0,10.4,89.6,0.28,0.61,0.89,10.4,89.6
q14b,0,12811,135428,585,937,149761,149761,148239,1522,0.0,8.64,91.36,0.39,0.63,1.02,8.64,91.36
q14c,0,34355,113952,531,923,149761,149761,148307,1454,0.0,23.16,76.84,0.35,0.62,0.97,23.16,76.84
q14d,0,4798,143439,557,967,149761,149761,148237,1524,0.0,3.24,96.76,0.37,0.65,1.02,3.24,96.76
q14e,0,5821,142340,598,1002,149761,149761,148161,1600,0.0,3.93,96.07,0.4,0.67,1.07,3.93,96.07
q15a,0,12542,135943,364,912,149761,149761,148485,1276,0.0,8.45,91.55,0.24,0.61,0.85,8.45,91.55
q15b,40785,6585,101460,409,522,108976,149761,108045,931,27.23,6.09,93.91,0.38,0.48,0.85,4.43,68.34
q15c,40785,7418,100598,418,542,108976,149761,108016,960,27.23,6.87,93.13,0.38,0.5,0.88,5.0,67.77
q15d,40785,13315,94681,406,574,108976,149761,107996,980,27.23,12.33,87.67,0.37,0.53,0.9,8.97,63.8
q15e,40785,4327,103536,516,597,108976,149761,107863,1113,27.23,4.01,95.99,0.47,0.55,1.02,2.92,69.85
q15a1a,40920,3180,104228,1027,406,108841,149761,107408,1433,27.32,2.96,97.04,0.94,0.37,1.32,2.15,70.53
q15a1b,40920,5371,101970,1054,446,108841,149761,107341,1500,27.32,5.0,95.0,0.97,0.41,1.38,3.63,69.05
q15a1c,40920,7324,100024,1036,457,108841,149761,107348,1493,27.32,6.82,93.18,0.95,0.42,1.37,4.96,67.72
q16,40785,13759,94518,516,183,108976,149761,108277,699,27.23,12.71,87.29,0.47,0.17,0.64,9.25,63.52
q17,136002,7147,6473,94,45,13759,149761,13620,139,90.81,52.47,47.53,0.68,0.33,1.01,4.82,4.37
q18,134511,1174,13737,182,157,15250,149761,14911,339,89.82,7.87,92.13,1.19,1.03,2.22,0.8,9.38
